tree_id,legal_status,species,address,site_order,site_info,caretaker,date,dbh,plot_size,latitude,longitude,tree_age
66780,DPW Maintained,Magnolia grandiflora :: Southern Magnolia,1341 Union St,1.0,Sidewalk: Curb side : Cutout,Private,1995-03-04,10.0,,37.79879236,-122.421539,28.74
68191,DPW Maintained,Magnolia grandiflora :: Southern Magnolia,2720 Vallejo St,1.0,Sidewalk: Curb side : Cutout,Private,1993-06-29,13.0,,37.79440028,-122.4421137,30.42
74104,DPW Maintained,Magnolia grandiflora :: Southern Magnolia,189 Oxford St,1.0,Sidewalk: Curb side : Cutout,Private,1994-05-21,11.0,,37.72749461,-122.4198566,29.53
98489,DPW Maintained,Magnolia grandiflora :: Southern Magnolia,1813 Baker St,1.0,Sidewalk: Curb side : Cutout,Private,2016-03-29,3.0,4.5x5,37.78816999,-122.4439285,7.67
66063,DPW Maintained,Magnolia grandiflora :: Southern Magnolia,1525 19th St,1.0,Sidewalk: Curb side : Cutout,Private,1990-08-06,8.0,,37.76114504,-122.3978649,33.32
45713,DPW Maintained,Magnolia grandiflora :: Southern Magnolia,308 Green St,1.0,Sidewalk: Curb side : Cutout,Private,2001-09-28,8.0,,37.80011578,-122.4046859,22.17
44749,DPW Maintained,Magnolia grandiflora :: Southern Magnolia,1420 Taylor St,2.0,Sidewalk: Curb side : Cutout,Private,2001-04-06,6.0,,37.79556502,-122.4131797,22.65
66795,DPW Maintained,Magnolia grandiflora :: Southern Magnolia,1263 Lombard St,1.0,Sidewalk: Curb side : Cutout,Private,1991-09-20,1.0,,37.80156939,-122.4223277,32.19
17454,DPW Maintained,Magnolia grandiflora :: Southern Magnolia,1979 Palou Ave,1.0,Sidewalk: Curb side : Cutout,DPW,1990-03-21,25.0,3X3,37.7379376,-122.3980575,33.69
53661,DPW Maintained,Magnolia grandiflora :: Southern Magnolia,1542 Polk St,1.0,Sidewalk: Curb side : Cutout,Private,1969-12-30,3.0,,37.79120635,-122.4207303,53.92
5607,DPW Maintained,Magnolia grandiflora :: Southern Magnolia,1147 Dolores St,1.0,Sidewalk: Curb side : Cutout,DPW,1997-06-12,12.0,4X4,37.75100309,-122.4249352,26.47
112637,DPW Maintained,Magnolia grandiflora :: Southern Magnolia,2440 Broadway,2.0,Sidewalk: Curb side : Cutout,Private,2015-10-02,2.0,3x3,37.79403519,-122.4373506,8.16
63352,DPW Maintained,Magnolia grandiflora :: Southern Magnolia,3024 Clay St,1.0,Sidewalk: Curb side : Cutout,Private,1987-02-09,8.0,,37.78958623,-122.4436141,36.8
84650,DPW Maintained,Magnolia grandiflora :: Southern Magnolia,862 31st Ave,2.0,Sidewalk: Curb side : Cutout,Private,2008-01-11,5.0,3x3,37.77299062,-122.4905892,15.89
29058,DPW Maintained,Magnolia grandiflora :: Southern Magnolia,428X 11th St,1.0,Sidewalk: Curb side : Cutout,DPW,2005-12-27,3.0,3x3,37.7700333,-122.4118919,17.92
31089,DPW Maintained,Magnolia grandiflora :: Southern Magnolia,83 Shotwell St,1.0,Sidewalk: Curb side : Cutout,Private,2013-08-01,0.0,3x3,37.76724456,-122.4165246,10.33
22325,DPW Maintained,Magnolia grandiflora :: Southern Magnolia,5158 03rd St,1.0,Sidewalk: Curb side : Cutout,Private,1997-12-23,12.0,3x3,37.73136272,-122.3920563,25.94
107494,Permitted Site,Magnolia grandiflora :: Southern Magnolia,293 JERSEY ST,2.0,Sidewalk: Curb side : Cutout,Private,2014-10-01,3.0,3x3,37.75052554,-122.4315364,9.16
5400,DPW Maintained,Magnolia grandiflora :: Southern Magnolia,348 Dolores St,1.0,Sidewalk: Curb side : Cutout,Private,2003-01-14,8.0,3X3,37.76377159,-122.4264426,20.88
33786,Property Tree,Magnolia grandiflora :: Southern Magnolia,200x Mission St,4.0,Sidewalk: Curb side : Cutout,Private,2015-01-05,3.0,3x3,37.79186106,-122.394982,8.9
81279,DPW Maintained,Magnolia grandiflora :: Southern Magnolia,2294 31st Ave,1.0,Sidewalk: Curb side : Cutout,Private,2009-07-10,3.0,3x3,37.74449311,-122.4886152,14.39
75296,DPW Maintained,Magnolia grandiflora :: Southern Magnolia,242 Cole St,2.0,Sidewalk: Curb side : Cutout,Private,1994-04-23,2.0,,37.77257527,-122.4507571,29.6
85609,DPW Maintained,Magnolia grandiflora :: Southern Magnolia,1551 Palou Ave,1.0,Sidewalk: Curb side : Cutout,DPW,2007-03-21,3.0,3x3,37.73341023,-122.3900595,16.7
95271,DPW Maintained,Magnolia grandiflora :: Southern Magnolia,2245 Jones St,10.0,Sidewalk: Curb side : Cutout,SFUSD,2016-03-23,3.0,6x6,37.80189968,-122.4165966,7.69
18443,DPW Maintained,Magnolia grandiflora :: Southern Magnolia,1010 Potrero Ave,1.0,Sidewalk: Curb side : Cutout,DPW,1994-09-21,18.0,3X3,37.75590736,-122.4067606,29.19
49763,DPW Maintained,Magnolia grandiflora :: Southern Magnolia,274 Raymond Ave,1.0,Sidewalk: Curb side : Cutout,Private,2003-06-04,3.0,,37.71371376,-122.4086424,20.49
